x,rho,u,p
0,1.0076,4.69726,101771
0.005,1.0076,4.69726,101771
0.01,1.0076,4.69726,101771
0.015,1.0076,4.69726,101771
0.02,1.0076,4.69726,101771
0.025,1.0076,4.69726,101771
0.03,1.0076,4.69726,101771
0.035,1.0076,4.69726,101771
0.04,1.0076,4.69726,101771
0.045,1.00761,4.69726,101771
0.05,1.00761,4.69726,101771
0.055,1.00761,4.69726,101771
0.06,1.00761,4.69726,101771
0.065,1.00761,4.69726,101771
0.07,1.00762,4.69726,101771
0.075,1.00762,4.69726,101771
0.08,1.00762,4.69726,101771
0.085,1.00763,4.69726,101771
0.09,1.00763,4.69726,101771
0.095,1.00763,4.69726,101771
0.1,1.00764,4.69726,101771
0.105,1.00764,4.69726,101771
0.11,1.00765,4.69726,101771
0.115,1.00765,4.69726,101771
0.12,1.00766,4.69726,101771
0.125,1.00766,4.69726,101771
0.13,1.00767,4.69726,101771
0.135,1.00767,4.69726,101771
0.14,1.00768,4.69726,101771
0.145,1.00768,4.69726,101771
0.15,1.00769,4.69726,101771
0.155,1.0077,4.69726,101771
0.16,1.0077,4.69726,101771
0.165,1.00771,4.69726,101771
0.17,1.00772,4.69726,101771
0.175,1.00773,4.69726,101771
0.18,1.00773,4.69726,101771
0.185,1.00774,4.69726,101771
0.19,1.00775,4.69726,101771
0.195,1.00776,4.69726,101771
0.2,1.00777,4.69726,101771
0.205,1.00778,4.69726,101771
0.21,1.00779,4.69726,101771
0.215,1.0078,4.69726,101771
0.22,1.00781,4.69726,101771
0.225,1.00782,4.69726,101771
0.23,1.00783,4.69726,101771
0.235,1.00784,4.69726,101771
0.24,1.00785,4.69726,101771
0.245,1.00786,4.69726,101771
0.25,1.00788,4.69726,101771
0.255,1.00789,4.69726,101771
0.26,1.0079,4.69726,101771
0.265,1.00792,4.69726,101771
0.27,1.00793,4.69726,101771
0.275,1.00794,4.69726,101771
0.28,1.00796,4.69726,101771
0.285,1.00797,4.69726,101771
0.29,1.00799,4.69726,101771
0.295,1.008,4.69726,101771
0.3,1.00802,4.69726,101771
0.305,1.00803,4.69726,101771
0.31,1.00805,4.69726,101771
0.315,1.00806,4.69726,101771
0.32,1.00808,4.69726,101771
0.325,1.0081,4.69726,101771
0.33,1.00811,4.69726,101771
0.335,1.00813,4.69726,101771
0.34,1.00815,4.69726,101771
0.345,1.00817,4.69726,101771
0.35,1.00818,4.69726,101771
0.355,1.0082,4.69726,101771
0.36,1.00822,4.69726,101771
0.365,1.00824,4.69726,101771
0.37,1.00826,4.69726,101771
0.375,1.00828,4.69726,101771
0.38,1.0083,4.69726,101771
0.385,1.00832,4.69726,101771
0.39,1.00834,4.69726,101771
0.395,1.00836,4.69726,101771
0.4,1.00838,4.69726,101771
0.405,1.0084,4.69726,101771
0.41,1.00843,4.69726,101771
0.415,1.00845,4.69726,101771
0.42,1.00847,4.69726,101771
0.425,1.00849,4.69726,101771
0.43,1.00851,4.69726,101771
0.435,1.00854,4.69726,101771
0.44,1.00856,4.69726,101771
0.445,1.00858,4.69726,101771
0.45,1.00861,4.69726,101771
0.455,1.00863,4.69726,101771
0.46,1.00866,4.69726,101771
0.465,1.00868,4.69726,101771
0.47,1.00871,4.69726,101771
0.475,1.00873,4.69726,101771
0.48,1.00875,4.69726,101771
0.485,1.00878,4.69726,101771
0.49,1.00881,4.69726,101771
0.495,1.00883,4.69726,101771
0.5,1.00886,4.69726,101771
0.505,1.00888,4.69726,101771
0.51,1.00891,4.69726,101771
0.515,1.00894,4.69726,101771
0.52,1.00896,4.69726,101771
0.525,1.00899,4.69726,101771
0.53,1.00902,4.69726,101771
0.535,1.00904,4.69726,101771
0.54,1.00907,4.69726,101771
0.545,1.0091,4.69726,101771
0.55,1.00912,4.69726,101771
0.555,1.00915,4.69726,101771
0.56,1.00918,4.69726,101771
0.565,1.00921,4.69726,101771
0.57,1.00924,4.69726,101771
0.575,1.00926,4.69726,101771
0.58,1.00929,4.69726,101771
0.585,1.00932,4.69726,101771
0.59,1.00935,4.69726,101771
0.595,1.00938,4.69726,101771
0.6,1.0094,4.69726,101771
0.605,1.00943,4.69726,101771
