scheme,nx,ny,h,CFL,t_end,steps,dt_mean,wall_s,L1_rho,L2_rho,Linf_rho
FirstOrder,64,64,1.5625000000e-02,1.0000000000e-01,1.0000000000e-01,157,6.3694267516e-04,3.0796194800e-01,9.1302676201e-03,1.1277706790e-02,2.3710414627e-02
FirstOrder,128,128,7.8125000000e-03,1.0000000000e-01,1.0000000000e-01,313,3.1948881789e-04,2.4822024380e+00,4.6994825785e-03,5.8065654342e-03,1.2302575822e-02
FirstOrder,256,256,3.9062500000e-03,1.0000000000e-01,1.0000000000e-01,625,1.6000000000e-04,2.1481070272e+01,2.3836996423e-03,2.9460371187e-03,6.2699039664e-03
FirstOrder,512,512,1.9531250000e-03,1.0000000000e-01,1.0000000000e-01,1250,8.0000000000e-05,1.3901999566e+02,1.2004112954e-03,1.4838093929e-03,3.1654727503e-03
WENO3,64,64,1.5625000000e-02,1.0000000000e-01,1.0000000000e-01,157,6.3694267516e-04,5.3193141600e-01,5.0647794821e-04,8.5235143953e-04,5.4624043971e-03
WENO3,128,128,7.8125000000e-03,1.0000000000e-01,1.0000000000e-01,313,3.1948881789e-04,4.3031444660e+00,7.1577917781e-05,1.1656058053e-04,1.0172867540e-03
WENO3,256,256,3.9062500000e-03,1.0000000000e-01,1.0000000000e-01,625,1.6000000000e-04,3.1615557495e+01,9.8979105052e-06,1.1631381788e-05,6.7436301459e-05
WENO3,512,512,1.9531250000e-03,1.0000000000e-01,1.0000000000e-01,1250,8.0000000000e-05,2.6239501495e+02,2.2019977648e-06,2.4407289248e-06,3.9531757721e-06
WENO5,64,64,1.5625000000e-02,1.0000000000e-01,1.0000000000e-01,157,6.3694267516e-04,2.3926086090e+00,2.0881205674e-07,2.6223313330e-07,6.8579111900e-07
WENO5,128,128,7.8125000000e-03,1.0000000000e-01,1.0000000000e-01,313,3.1948881789e-04,1.5810827378e+01,6.4326670363e-09,8.0487915879e-09,1.9947005603e-08
WENO5,256,256,3.9062500000e-03,1.0000000000e-01,1.0000000000e-01,625,1.6000000000e-04,1.1752426258e+02,1.9457347763e-10,2.4326662256e-10,5.6058035991e-10
WENO5,512,512,1.9531250000e-03,1.0000000000e-01,1.0000000000e-01,1250,8.0000000000e-05,1.0125135053e+03,5.8652903942e-12,7.1378909065e-12,1.5179413282e-11
WENO5Z,64,64,1.5625000000e-02,1.0000000000e-01,1.0000000000e-01,157,6.3694267516e-04,2.4133787100e+00,3.0246156480e-08,3.7379168465e-08,7.9825452248e-08
WENO5Z,128,128,7.8125000000e-03,1.0000000000e-01,1.0000000000e-01,313,3.1948881789e-04,1.6943615338e+01,9.8335427705e-10,1.2120113514e-09,2.5815704019e-09
WENO5Z,256,256,3.9062500000e-03,1.0000000000e-01,1.0000000000e-01,625,1.6000000000e-04,1.3973404390e+02,3.5929450245e-11,4.3478856517e-11,9.0915275308e-11
WENO5Z,512,512,1.9531250000e-03,1.0000000000e-01,1.0000000000e-01,1250,8.0000000000e-05,1.2928339097e+03,1.8705517376e-12,2.1546578708e-12,4.0513148392e-12
TENO5,64,64,1.5625000000e-02,1.0000000000e-01,1.0000000000e-01,157,6.3694267516e-04,3.6310713010e+00,3.0246150100e-08,3.7377947419e-08,7.9839035938e-08
TENO5,128,128,7.8125000000e-03,1.0000000000e-01,1.0000000000e-01,313,3.1948881789e-04,2.3975150095e+01,9.8335427233e-10,1.2120107246e-09,2.5815705129e-09
TENO5,256,256,3.9062500000e-03,1.0000000000e-01,1.0000000000e-01,625,1.6000000000e-04,1.8161254496e+02,3.5929453260e-11,4.3478864885e-11,9.0914609174e-11
TENO5,512,512,1.9531250000e-03,1.0000000000e-01,1.0000000000e-01,1250,8.0000000000e-05,1.4510092348e+03,1.8705353750e-12,2.1546467033e-12,4.0514258615e-12
